Month,WangZheRongYao_in_Chinese,WeiXin_in_Chinese,Mobile game,communication,Price,Predict_by_MLR,Price_ytd,Predict_ytd,Dummy,Predict_Mean
2008-05-01,0,0,42,52,12.06,52.58495432,13.14,41.23002631,FALSE,42.28695278
2008-06-01,0,0,43,49,13.91,61.7051581,12.06,52.58495432,FALSE,44.55189481
2008-07-01,0,0,45,45,13.4,73.0600861,13.91,61.7051581,FALSE,47.59196274
2008-08-01,0,0,49,45,11.1,68.22802382,13.4,73.0600861,TRUE,46.84705467
2008-09-01,0,0,45,53,11,45.51816782,11.1,68.22802382,TRUE,51.40715657
2008-10-01,0,0,44,54,8.5,43.2834436,11,45.51816782,TRUE,55.73570471
2008-11-01,0,0,46,53,10,44.31015225,8.5,43.2834436,FALSE,57.05440275
2008-12-01,0,0,48,45,9.68,69.43603939,10,44.31015225,FALSE,57.39663896
2009-01-01,0,0,48,51,8.99,48.77960068,9.68,69.43603939,TRUE,56.01750528
2009-02-01,0,0,46,53,11.48,44.31015225,8.99,48.77960068,TRUE,57.3059855
2009-03-01,0,0,45,54,13.8,42.07542803,11.48,44.31015225,TRUE,53.25923793
2009-04-01,0,0,44,52,17.280001,50.16892317,13.8,42.07542803,FALSE,49.272926
2009-05-01,0,0,46,49,18.09,58.08111139,17.280001,50.16892317,FALSE,48.69913603
2009-06-01,0,0,46,46,20.92,68.40933075,18.09,58.08111139,FALSE,49.84671596
2009-07-01,0,0,48,43,23.059999,76.32151896,20.92,68.40933075,FALSE,52.14187582
2009-08-01,0,0,47,44,25.219999,74.08679475,23.059999,76.32151896,TRUE,51.97075771
2009-09-01,0,0,43,52,27.42,51.37693874,25.219999,74.08679475,TRUE,56.56107743
2009-10-01,0,0,43,54,28.66,44.49145917,27.42,51.37693874,TRUE,61.52385118
2009-11-01,0,0,43,55,33.799999,41.04871939,28.66,44.49145917,TRUE,63.07410296
2009-12-01,0,0,47,45,29.040001,70.64405496,33.799999,41.04871939,FALSE,62.12785896
2010-01-01,0,0,43,49,30.440001,61.7051581,29.040001,70.64405496,TRUE,59.28912696
2010-02-01,0,0,43,53,31.16,47.93419896,30.440001,61.7051581,TRUE,59.661581
2010-03-01,0,0,42,54,32.68,45.69947474,31.16,47.93419896,TRUE,57.22552085
2010-04-01,0,0,43,51,30.040001,54.81967853,32.68,45.69947474,FALSE,52.86675489
2010-05-01,0,0,44,49,26.1,60.49714253,30.040001,54.81967853,FALSE,51.92051089
2010-06-01,0,0,45,47,29.940001,66.17460653,26.1,60.49714253,FALSE,53.64188078
2010-07-01,0,0,74,42,28.459999,48.35585392,29.940001,66.17460653,TRUE,56.88328464
2010-08-01,0,0,76,42,33.919998,45.93982278,28.459999,48.35585392,TRUE,56.13837657
2010-09-01,0,0,73,49,35.5,25.464691,33.919998,45.93982278,TRUE,53.91349254
2010-10-01,0,0,71,50,34.540001,24.43798235,35.5,25.464691,TRUE,53.58109651
2010-11-01,0,0,70,48,33.779999,32.53147749,34.540001,24.43798235,FALSE,50.20863255
2010-12-01,0,0,77,40,40.400002,51.61728678,33.779999,32.53147749,FALSE,45.14501652
2011-01-01,0,2,75,46,41.200001,34.69387773,40.400002,51.61728678,TRUE,40.48407235
2011-02-01,0,1,70,47,37.900002,36.63271654,41.200001,34.69387773,FALSE,38.05785239
2011-03-01,0,1,72,48,44.200001,30.77394561,37.900002,36.63271654,TRUE,35.78085636
2011-04-01,0,1,80,44,44.759998,34.88078019,44.200001,30.77394561,FALSE,34.22967198
2011-05-01,0,2,82,44,42.240002,33.12324831,44.759998,34.88078019,TRUE,35.11454775
2011-06-01,0,9,88,42,40.560001,37.37012926,42.240002,33.12324831,FALSE,36.85501406
2011-07-01,0,15,90,38,37,52.67605281,40.560001,37.37012926,FALSE,36.95364253
2011-08-01,0,15,92,39,32.84,46.81728188,37,52.67605281,TRUE,34.57911627
2011-09-01,0,17,94,46,36.619999,21.61907076,32.84,46.81728188,TRUE,37.57614545
2011-10-01,0,18,97,46,29.040001,18.65352331,36.619999,21.61907076,TRUE,39.27357301
2011-11-01,0,21,99,47,31.219999,14.77025015,29.040001,18.65352331,TRUE,37.74776054
2011-12-01,0,23,100,38,37.939999,45.86389117,31.219999,14.77025015,FALSE,35.04321772
2012-01-01,0,24,92,42,40.400002,42.41555584,37.939999,45.86389117,TRUE,31.9843847
2012-02-01,0,31,88,44,43.32,44.97163336,40.400002,42.41555584,FALSE,33.40001168
2012-03-01,0,31,90,45,48.759998,39.11286243,43.32,44.97163336,TRUE,31.68992885
2012-04-01,0,32,90,41,42.68,53.54232083,48.759998,39.11286243,FALSE,31.38232077
2012-05-01,0,37,93,42,45.200001,49.76803062,42.68,53.54232083,TRUE,34.29795271
2012-06-01,0,44,96,39,46.360001,61.08169807,45.200001,49.76803062,FALSE,40.1127523
2012-07-01,0,51,95,36,47.400002,77.2274278,46.360001,61.08169807,FALSE,45.94571571
2012-08-01,0,50,98,36,52.84,72.94488183,47.400002,77.2274278,TRUE,48.48201686
2012-09-01,0,37,91,45,54.799999,41.85584241,52.84,72.94488183,TRUE,54.28399552
2012-10-01,0,38,84,44,50.639999,54.41319044,54.799999,41.85584241,FALSE,58.9462036
2012-11-01,0,39,83,42,49.799999,63.16518484,50.639999,54.41319044,FALSE,59.40336693
2012-12-01,0,45,89,34,54.279999,87.41000524,49.799999,63.16518484,FALSE,59.54851186
2013-01-01,0,49,83,39,53.639999,80.07839677,54.279999,87.41000524,TRUE,61.7813709
2013-02-01,0,60,83,42,49.360001,76.99366925,53.639999,80.07839677,TRUE,66.16942209
2013-03-01,0,62,90,41,53.240002,73.29729856,49.360001,76.99366925,TRUE,66.64458359
2013-04-01,0,68,89,41,61.560001,78.45630967,53.240002,73.29729856,FALSE,67.31938149
2013-05-01,0,75,93,38,60.84,88.56196155,61.560001,78.45630967,FALSE,72.55962418
2013-06-01,0,79,99,37,70.360001,87.39060495,60.84,88.56196155,TRUE,76.56681072
2013-07-01,0,82,96,34,72.720001,103.3183688,70.360001,87.39060495,FALSE,80.79960684
2013-08-01,0,100,91,33,81.360001,124.6541731,72.720001,103.3183688,FALSE,80.79637346
2013-09-01,0,84,82,42,84.639999,94.005667,81.360001,124.6541731,TRUE,84.66970213
2013-10-01,0,80,78,42,89.68,96.20373225,84.639999,94.005667,FALSE,92.61311944
2013-11-01,0,82,78,41,98.919998,100.9634706,89.68,96.20373225,FALSE,96.06451418
2013-12-01,0,83,79,34,108.699997,124.5131327,98.919998,100.9634706,FALSE,99.02241794
2014-01-01,0,84,71,38,124.5,121.0647974,108.699997,124.5131327,TRUE,101.0893361
2014-02-01,0,93,69,41,107.900002,119.0791025,124.5,121.0647974,TRUE,107.2764241
2014-03-01,0,95,70,41,96.639999,119.1880855,107.900002,119.0791025,FALSE,110.2341622
2014-04-01,0,91,72,39,109.300003,121.0235369,96.639999,119.1880855,FALSE,109.3049837
2014-05-01,0,94,74,38,118.199997,124.0257433,109.300003,121.0235369,FALSE,113.5020535
2014-06-01,0,27,75,36,128.399994,85.58375702,118.199997,124.0257433,TRUE,117.6386876
2014-07-01,0,21,73,33,126.5,94.37701197,128.399994,85.58375702,FALSE,121.4823997
2014-08-01,0,20,68,34,115.5,96.31585078,126.5,94.37701197,FALSE,114.9941704
2014-09-01,0,19,62,42,123.599998,75.36352666,115.5,96.31585078,TRUE,110.5462062
2014-10-01,0,18,62,41,124,78.14776719,123.599998,75.36352666,FALSE,106.7523309
2014-11-01,0,18,58,42,112.5,79.53708968,124,78.14776719,FALSE,99.44823777
2014-12-01,0,20,60,34,132,105.9799753,112.5,79.53708968,FALSE,92.30227615
2015-01-01,0,16,57,37,135.899994,96.64180566,132,105.9799753,TRUE,84.88750055
2015-02-01,0,16,55,41,147.199997,85.28687766,135.899994,96.64180566,TRUE,88.28687026
2015-03-01,0,17,58,41,160.899994,82.32133021,147.199997,85.28687766,TRUE,88.66433588
2015-04-01,0,17,61,39,155.699997,85.58276307,160.899994,82.32133021,FALSE,86.82617369
2015-05-01,0,18,60,37,154.699997,94.33475747,155.699997,85.58276307,FALSE,87.98580762
2015-06-01,0,18,65,36,144.699997,91.7374194,154.699997,94.33475747,TRUE,89.2249736
2015-07-01,0,19,60,32,131.800003,112.2069557,144.699997,91.7374194,FALSE,91.69125156
2015-08-01,0,20,57,33,129.300003,113.0467618,131.800003,112.2069557,FALSE,89.31749225
2015-09-01,0,21,54,40,146.600006,93.23012931,129.300003,113.0467618,TRUE,91.91168392
2015-10-01,1,21,55,40,154.300003,94.11584598,146.600006,93.23012931,FALSE,96.53833128
2015-11-01,2,22,54,39,152.5,101.5188328,154.300003,94.11584598,FALSE,98.35646446
2015-12-01,2,23,56,33,144.899994,120.4177397,152.5,101.5188328,FALSE,99.77864494
2016-01-01,0,12,50,38,141.899994,99.02117784,144.899994,120.4177397,TRUE,100.9759908
2016-02-01,0,13,48,42,158.399994,88.3247491,141.899994,99.02117784,TRUE,105.7560442
2016-03-01,0,13,50,40,158.899994,92.79419753,158.399994,88.3247491,FALSE,103.5584146
2016-04-01,1,13,49,40,173.300003,96.09594534,158.899994,92.79419753,FALSE,99.43807912
2016-05-01,1,14,51,38,176.100006,101.223893,173.300003,96.09594534,FALSE,99.36542383
2016-06-01,1,14,52,37,186.5,103.4586172,176.100006,101.223893,FALSE,99.69544039
2016-07-01,1,13,52,32,201.800003,120.0138169,186.5,103.4586172,FALSE,99.64628375
2016-08-01,1,13,49,34,213,116.7523841,201.800003,120.0138169,TRUE,96.81976334
2016-09-01,1,14,49,40,205.800003,96.7544446,213,116.7523841,TRUE,100.3185365
2016-10-01,2,13,50,40,193.699997,96.98166202,205.800003,96.7544446,FALSE,105.0564757
2016-11-01,2,13,47,40,189.699997,100.6057087,193.699997,96.98166202,FALSE,105.7165169
2016-12-01,29,28,51,33,204.399994,186.2810844,189.699997,100.6057087,FALSE,105.8641363
2017-01-01,55,36,48,37,207,235.8392044,204.399994,186.2810844,FALSE,105.7611056
2017-02-01,61,34,47,41,222.800003,234.5216558,207,235.8392044,TRUE,119.5648501
2017-03-01,73,38,48,41,243.399994,261.0724242,222.800003,234.5216558,FALSE,138.8690814
2017-04-01,81,38,50,38,267.600006,285.7344704,243.399994,261.0724242,FALSE,158.4972933
2017-05-01,88,39,52,36,279.200012,305.5185438,267.600006,285.7344704,FALSE,185.8836233
2017-06-01,94,39,53,34,313.399994,323.7584013,279.200012,305.5185438,FALSE,217.3424247
2017-07-01,100,37,53,31,329,345.3320156,313.399994,323.7584013,FALSE,251.4945638
2017-08-01,78,38,51,31,336.200012,302.3444366,329,345.3320156,TRUE,274.40745
2017-09-01,74,40,48,38,352,274.8113743,336.200012,302.3444366,TRUE,292.6562519
