Month,WangZheRongYao_in_Chinese,WeiXin_in_Chinese,Mobile game,communication,Price,Predict_by_MLR,Price_ytd
2011-06-01,0,9,88,42,40.560001,37.37012926,42.240002
2011-07-01,0,15,90,38,37.0,52.67605281,40.560001
2011-08-01,0,15,92,39,32.84,46.81728188,37.0
2011-09-01,0,17,94,46,36.619999,21.61907076,32.84
2011-10-01,0,18,97,46,29.040001,18.65352331,36.619999
2011-11-01,0,21,99,47,31.219999,14.77025015,29.040001
2011-12-01,0,23,100,38,37.939999,45.86389117,31.219999
2012-01-01,0,24,92,42,40.400002,42.41555584,37.939999
2012-02-01,0,31,88,44,43.32,44.97163336,40.400002
2012-03-01,0,31,90,45,48.759998,39.11286243,43.32
2012-04-01,0,32,90,41,42.68,53.54232083,48.759998
2012-05-01,0,37,93,42,45.200001,49.76803062,42.68
2012-06-01,0,44,96,39,46.360001,61.08169807,45.200001
2012-07-01,0,51,95,36,47.400002,77.2274278,46.360001
2012-08-01,0,50,98,36,52.84,72.94488183,47.400002
2012-09-01,0,37,91,45,54.799999,41.85584241,52.84
2012-10-01,0,38,84,44,50.639999,54.41319044,54.799999
2012-11-01,0,39,83,42,49.799999,63.16518484,50.639999
2012-12-01,0,45,89,34,54.279999,87.41000524,49.799999
2013-01-01,0,49,83,39,53.639999,80.07839677,54.279999
2013-02-01,0,60,83,42,49.360001,76.99366925,53.639999
2013-03-01,0,62,90,41,53.240002,73.29729856,49.360001
2013-04-01,0,68,89,41,61.560001,78.45630967,53.240002
2013-05-01,0,75,93,38,60.84,88.56196155,61.560001
2013-06-01,0,79,99,37,70.360001,87.39060495,60.84
2013-07-01,0,82,96,34,72.720001,103.3183688,70.360001
2013-08-01,0,100,91,33,81.360001,124.6541731,72.720001
2013-09-01,0,84,82,42,84.639999,94.005667,81.360001
2013-10-01,0,80,78,42,89.68,96.20373225,84.639999
2013-11-01,0,82,78,41,98.919998,100.9634706,89.68
2013-12-01,0,83,79,34,108.699997,124.5131327,98.919998
2014-01-01,0,84,71,38,124.5,121.0647974,108.699997
2014-02-01,0,93,69,41,107.900002,119.0791025,124.5
2014-03-01,0,95,70,41,96.639999,119.1880855,107.900002
2014-04-01,0,91,72,39,109.300003,121.0235369,96.639999
2014-05-01,0,94,74,38,118.199997,124.0257433,109.300003
2014-06-01,0,27,75,36,128.399994,85.58375702,118.199997
2014-07-01,0,21,73,33,126.5,94.37701197,128.399994
2014-08-01,0,20,68,34,115.5,96.31585078,126.5
2014-09-01,0,19,62,42,123.599998,75.36352666,115.5
2014-10-01,0,18,62,41,124.0,78.14776719,123.599998
2014-11-01,0,18,58,42,112.5,79.53708968,124.0
2014-12-01,0,20,60,34,132.0,105.9799753,112.5
2015-01-01,0,16,57,37,135.899994,96.64180566,132.0
2015-02-01,0,16,55,41,147.199997,85.28687766,135.899994
2015-03-01,0,17,58,41,160.899994,82.32133021,147.199997
2015-04-01,0,17,61,39,155.699997,85.58276307,160.899994
2015-05-01,0,18,60,37,154.699997,94.33475747,155.699997
2015-06-01,0,18,65,36,144.699997,91.7374194,154.699997
2015-07-01,0,19,60,32,131.800003,112.2069557,144.699997
2015-08-01,0,20,57,33,129.300003,113.0467618,131.800003
2015-09-01,0,21,54,40,146.600006,93.23012931,129.300003
2015-10-01,1,21,55,40,154.300003,94.11584598,146.600006
2015-11-01,2,22,54,39,152.5,101.5188328,154.300003
2015-12-01,2,23,56,33,144.899994,120.4177397,152.5
2016-01-01,0,12,50,38,141.899994,99.02117784,144.899994
2016-02-01,0,13,48,42,158.399994,88.3247491,141.899994
2016-03-01,0,13,50,40,158.899994,92.79419753,158.399994
2016-04-01,1,13,49,40,173.300003,96.09594534,158.899994
2016-05-01,1,14,51,38,176.100006,101.223893,173.300003
2016-06-01,1,14,52,37,186.5,103.4586172,176.100006
2016-07-01,1,13,52,32,201.800003,120.0138169,186.5
2016-08-01,1,13,49,34,213.0,116.7523841,201.800003
2016-09-01,1,14,49,40,205.800003,96.7544446,213.0
2016-10-01,2,13,50,40,193.699997,96.98166202,205.800003
2016-11-01,2,13,47,40,189.699997,100.6057087,193.699997
2016-12-01,29,28,51,33,204.399994,186.2810844,189.699997
2017-01-01,55,36,48,37,207.0,235.8392044,204.399994
2017-02-01,61,34,47,41,222.800003,234.5216558,207.0
2017-03-01,73,38,48,41,243.399994,261.0724242,222.800003
2017-04-01,81,38,50,38,267.600006,285.7344704,243.399994
2017-05-01,88,39,52,36,279.200012,305.5185438,267.600006
2017-06-01,94,39,53,34,313.399994,323.7584013,279.200012
2017-07-01,100,37,53,31,329.0,345.3320156,313.399994
2017-08-01,78,38,51,31,336.200012,302.3444366,329.0
2017-09-01,74,40,48,38,352.0,274.8113743,336.200012
